Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.gondii GT1 CRISPR Phenotype - Mean Phenotype	T.gondii GT1 CRISPR Phenotype - Liver Composite Score	T.gondii GT1 CRISPR Phenotype - Lung Composite Score	T.gondii GT1 CRISPR Phenotype - Peritoneum Composite Score	T.gondii GT1 CRISPR Phenotype - Spleen Comosite Score
TGGT1_200360	TGGT1_200360-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,800,991..6,801,551(+)"	hypothetical protein	2.63	-1.513353453	-1.431947738	-0.45871301	-0.800053432
TGGT1_200370	TGGT1_200370-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,802,421..6,807,393(-)"	prenyltransferase and squalene oxidase repeat-containing protein	-0.53	-85.03763849	-163.5337015	-411.8616514	-75.12356803
TGGT1_200385	TGGT1_200385-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,812,546..6,821,202(-)"	Myb family DNA-binding domain-containing protein	0.98	-2.823758161	-0.831660018	-5.378167938	-1.312222437
TGGT1_200400	TGGT1_200400-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,826,586..6,839,868(-)"	hypothetical protein	-3.17	-0.212698213	-0.015627741	-6.006653796	-0.081107035
TGGT1_200410	TGGT1_200410-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,844,442..6,847,225(-)"	hypothetical protein	-0.41	-0.847010905	-7.911871655	-1.125633346	-1.850827528
TGGT1_200430	TGGT1_200430-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,849,719..6,856,851(-)"	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	-0.66	9.369769528	15.44623465	1.552961899	1.22211588
TGGT1_200440	TGGT1_200440-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,859,541..6,863,421(+)"	hypothetical protein	-1.22	0.565580405	0.044985508	0.089797587	0.893871253
TGGT1_200450	TGGT1_200450-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,865,971..6,873,462(-)"	hypothetical protein	1	0.068708699	0.409036368	0.047170992	-0.097015661
TGGT1_200460	TGGT1_200460-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,876,799..6,882,770(-)"	hypothetical protein	0.45	-104.1706628	-258.3404679	-139.5197766	-143.6353551
TGGT1_200470	TGGT1_200470-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,885,827..6,889,645(+)"	hypothetical protein	0.19	0.1725189	0.019691733	0.064996244	0.00393797
TGGT1_200480	TGGT1_200480-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,893,257..6,894,095(+)"	Toxoplasma gondii family B protein	1.23	-0.986116182	0.000556431	-0.572682874	-0.03245172
TGGT1_200590	TGGT1_200590-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:9,676..11,892(-)"	Toxoplasma gondii family C protein	2.09	-1.360066527	-0.308626257	-0.056157704	-0.168791074
TGGT1_200595	TGGT1_200595-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:14,339..17,012(-)"	hypothetical protein	1	-0.049067837	-0.095833083	0.008132316	-0.173686409
TGGT1_200600	TGGT1_200600-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:17,511..17,930(+)"	hypothetical protein	0.38	0.510336477	0.670684572	0.85894239	0.37801347
TGGT1_201100	TGGT1_201100-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,944,212..3,944,922(-)"	hypothetical protein	-1.44	-0.244140513	-0.69296324	-2.015210092	-0.515737757
TGGT1_201110	TGGT1_201110-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,940,968..3,942,885(-)"	hypothetical protein	-3.19	-1.597405306	-1.210445614	-2.483398851	-3.928934858
TGGT1_201120	TGGT1_201120-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,930,598..3,938,731(+)"	ELMO/CED-12 family protein	-1.46	-0.000417315	-0.01666014	5.042920441	-0.338083833
TGGT1_201130	TGGT1_201130-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,922,773..3,926,189(+)"	rhoptry kinase family protein ROP33	-0.18	-3.969460221	-2.802731635	-28.3900949	-4.791642822
TGGT1_201140	TGGT1_201140-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,909,741..3,917,284(+)"	hypothetical protein	-1.19	-90.77351734	-118.8757609	-91.26791893	-114.9667344
TGGT1_201150	TGGT1_201150-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,895,489..3,905,933(+)"	heavy metal translocating P-type ATPase subfamily protein	-1.57	5.84056481	5.10908063	35.96142118	0.255122446
TGGT1_201160	TGGT1_201160-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,894,262..3,894,831(-)"	hypothetical protein	1.68	0.905892932	0.046674619	0.034614924	1.029998394
TGGT1_201170	TGGT1_201170-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,892,305..3,893,831(-)"	hypothetical protein	0.78	-9.967864441	-10.5595774	-8.254925874	-9.928077598
TGGT1_201180A	TGGT1_201180A-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,887,165..3,889,485(-)"	hypothetical protein	0.79	-0.024450513	0.000138458	-0.637000739	-0.205517711
TGGT1_201180B	TGGT1_201180B-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,885,819..3,886,928(-)"	hypothetical protein	0.84	-0.266787355	0.000173339	-0.229549403	0.043085643
TGGT1_201190	TGGT1_201190-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,881,947..3,882,306(+)"	hypothetical protein	0.69	-0.752704567	-0.220678965	-0.340707755	-0.028962912
TGGT1_201200	TGGT1_201200-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,878,045..3,881,453(+)"	zinc finger (CCCH type) motif-containing protein	-3.11	-0.515889831	-1.613917519	-5.477555291	-3.17056098
TGGT1_201210	TGGT1_201210-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,874,191..3,877,048(-)"	hypothetical protein	-3.48	-0.678095076	-40.76007081	0.538595047	-47.2808372
TGGT1_201220	TGGT1_201220-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,861,879..3,870,483(-)"	zinc finger protein	-5.4	-0.066724429	-0.037159149	0.178745145	-5.535749077
TGGT1_201230	TGGT1_201230-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,853,006..3,860,259(+)"	kinesin motor domain-containing protein	-1.18	-8.338845109	-11.13453965	-1.908342988	-1.685459728
TGGT1_201240	TGGT1_201240-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,848,728..3,850,771(-)"	hypothetical protein	0.67	1.053660172	0.043731832	0.676417729	2.088448376
TGGT1_201250	TGGT1_201250-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,839,435..3,846,508(+)"	"putative histone lysine methyltransferase, SET"	0.48	5.102982483	2.906782005	0.808435213	6.050079379
TGGT1_201260	TGGT1_201260-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,829,167..3,834,859(-)"	sugar transporter ST3	1.13	-4.572365491	-3.219048183	-0.155596489	-4.648422281
TGGT1_201270	TGGT1_201270-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,819,439..3,825,216(-)"	hypothetical protein	-3.41	-14.71525328	-0.249300718	-4.775677096	-51.58895329
TGGT1_201380	TGGT1_201380-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,812,592..3,817,565(+)"	putative chorismate synthase	-2.84	-4.51124569	-0.178461677	-6.949324376	-0.887894352
TGGT1_201390	TGGT1_201390-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,811,236..3,811,562(-)"	hypothetical protein	1.86	0.051817718	-0.36963282	-0.481706123	0.092653828
TGGT1_201400	TGGT1_201400-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,801,972..3,807,611(-)"	Sin3-associated polypeptide SAP18	-1.52	-68.82710819	-80.78522316	-62.23982236	-43.94901578
TGGT1_201520	TGGT1_201520-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,796,769..3,798,550(+)"	protein phosphatase 2C domain-containing protein	-0.25	0.014105622	0.029535575	0.000310672	0.060991375
TGGT1_201630A	TGGT1_201630A-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,786,202..3,788,119(+)"	protein phosphatase 2C domain-containing protein	-0.06	0.034212962	0.766731353	0.652445895	0.013737981
TGGT1_201630B	TGGT1_201630B-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,789,333..3,791,056(+)"	protein phosphatase 2C domain-containing protein	1.65	-1.925816231	-0.31550459	-2.324370982	-0.317460411
TGGT1_201640	TGGT1_201640-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,779,986..3,783,753(-)"	hypothetical protein	0.09	3.849702616	2.264590858	1.338328926	0.238316184
TGGT1_201650	TGGT1_201650-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,775,329..3,779,892(-)"	hypothetical protein	-1.02	-0.045499769	-0.03302593	0.012594059	-0.206189488
TGGT1_201660	TGGT1_201660-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,769,396..3,771,162(-)"	hypothetical protein	0.62	-0.305340862	-1.208410349	-0.216699623	-0.412167356
TGGT1_201670	TGGT1_201670-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,765,039..3,767,855(+)"	DnaJ domain-containing protein	0.17	-2.402285125	-0.465692583	-0.017612997	-5.666704758
TGGT1_201680	TGGT1_201680-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,754,116..3,762,345(+)"	putative eukaryotic initiation factor-3 subunit 10	-4.55	0.000426532	0.010029341	0.034127824	-0.00000152
TGGT1_201690	TGGT1_201690-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,746,817..3,749,321(-)"	BT1 family protein	-1.28	1.571765716	0.238148226	0.0407773	0.831079465
TGGT1_201700	TGGT1_201700-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,740,764..3,744,193(-)"	"WD domain, G-beta repeat-containing protein"	-3.65	-3.306737506	-1.577842915	-8.10563218	-4.181052148
TGGT1_201710	TGGT1_201710-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,734,491..3,738,475(+)"	"WD domain, G-beta repeat-containing protein"	-4	-22.03551686	-75.21386387	-10.89044105	-55.65979361
TGGT1_201720	TGGT1_201720-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,730,108..3,733,136(-)"	putative protein c9orf32	-1.12	-2.580953444	-6.660794034	-8.252519988	-13.39934416
TGGT1_201730	TGGT1_201730-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,727,899..3,728,519(+)"	hypothetical protein	-0.62	0.017169541	0.001120307	-0.000129511	0.301286046
TGGT1_201740	TGGT1_201740-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,726,187..3,727,509(+)"	hypothetical protein	-0.29	-2.985183015	-0.226845707	-0.301222265	-2.965033757
TGGT1_201750	TGGT1_201750-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,722,498..3,722,869(+)"	Tctex-1 family protein	1.45	-0.405451433	-0.685902349	-0.103688718	-0.114571919
TGGT1_201760	TGGT1_201760-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,716,556..3,719,107(+)"	hypothetical protein	0.54	-1.575677104	-0.203784	-0.00743611	-0.306863479
TGGT1_201770	TGGT1_201770-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,702,948..3,713,888(+)"	putative cullin 3	-0.56	0.470224123	0.474740944	1.041842999	0.520522336
TGGT1_201775	TGGT1_201775-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,698,371..3,699,048(+)"	hypothetical protein	2.09	0.195132574	0.570988009	0.00000471	0.011935225
TGGT1_201780	TGGT1_201780-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,693,727..3,696,991(-)"	microneme protein MIC2	-1.17	51.44335403	12.09880095	2.674338512	13.84007165
TGGT1_201785	TGGT1_201785-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,691,608..3,692,619(-)"	hypothetical protein	2.21	0.774510372	0.467045143	0.050497737	0.122590979
TGGT1_201790	TGGT1_201790-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,683,201..3,688,810(-)"	FHA domain-containing protein	-3.7	-0.909124198	-5.351712127	-0.0915436	-1.700219617
TGGT1_201800	TGGT1_201800-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,679,021..3,681,115(+)"	hypothetical protein	-4.01	-0.202512784	-1.740383886	-3.06936789	-0.176812717
TGGT1_201810	TGGT1_201810-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,676,601..3,677,629(-)"	hypothetical protein	0.05	-0.213890438	-0.898044383	-0.553745791	-1.055167064
TGGT1_201820	TGGT1_201820-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,663,089..3,672,284(+)"	hypothetical protein	-1.45	-0.101917905	-3.136549787	-0.040246781	-4.025018273
TGGT1_201830	TGGT1_201830-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,656,138..3,658,465(+)"	ribosomal protein L37	-4.94	0.754002589	-2.890073029	0.982734401	-2.919973934
TGGT1_201840	TGGT1_201840-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,648,103..3,654,235(+)"	aspartyl protease ASP1	-0.36	0.220476254	0.152960903	0.068642782	0.065426312
TGGT1_201850	TGGT1_201850-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,643,895..3,645,256(-)"	"WD domain, G-beta repeat-containing protein"	0.41	-0.513065434	-1.889198988	-0.022810531	-4.836133367
TGGT1_201860	TGGT1_201860-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,641,110..3,642,246(-)"	hypothetical protein	2.14	-1.507239953	-0.052332784	-0.262811315	-0.365355476
TGGT1_201870	TGGT1_201870-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,632,076..3,640,290(+)"	tetratricopeptide repeat-containing protein	-0.27	-28.46455821	-49.81411623	-63.43802527	-50.69245773
TGGT1_201880	TGGT1_201880-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,628,377..3,629,768(+)"	hypothetical protein	-3.68	-32.34014211	-2.892685175	-31.36368688	-10.53588109
TGGT1_201890	TGGT1_201890-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,624,430..3,625,785(+)"	MORN repeat-containing protein	-0.6	3.203121755	1.446391232	1.432404514	1.369902966
TGGT1_201895	TGGT1_201895-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,623,117..3,623,731(+)"	hypothetical protein	1.14	-0.237976779	0.001724635	0.090943087	-3.42777819
TGGT1_201900	TGGT1_201900-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,613,323..3,619,398(-)"	hypothetical protein	-3.29	0.011948323	-1.647649333	0.065859605	-0.58861319
TGGT1_202010	TGGT1_202010-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,608,764..3,611,773(+)"	hypothetical protein	0.63	2.022579471	0.187346451	0.032018518	0.075419913
TGGT1_202020	TGGT1_202020-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,599,861..3,606,124(+)"	DnAK-TPR	-0.12	1.545247642	-0.052936457	0.626415409	1.384860514
TGGT1_202025	TGGT1_202025-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,588,454..3,593,652(-)"	hypothetical protein	0.04	4.724465917	0.922919254	0.473509313	2.314331352
TGGT1_202030	TGGT1_202030-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,579,004..3,587,423(-)"	hypothetical protein	0.41	-0.115317831	-0.058700251	-0.040139043	-0.05803504
TGGT1_202040	TGGT1_202040-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,569,120..3,576,141(+)"	hypothetical protein	-0.2	-1.113058625	-3.314869132	-0.971935942	-2.280134367
TGGT1_202050	TGGT1_202050-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,566,154..3,567,069(-)"	hypothetical protein	0.5	-1.243954242	-0.794431028	-0.084780808	-0.575676262
TGGT1_202065	TGGT1_202065-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,564,550..3,565,168(+)"	hypothetical protein	0.65	-0.130245825	0.006814727	-0.00000303	-0.000833539
TGGT1_202070	TGGT1_202070-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,530,277..3,562,515(-)"	hypothetical protein	-2.15	-0.087800949	-5.703007113	0.001570541	-0.811826133
TGGT1_202080	TGGT1_202080-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,519,526..3,529,057(+)"	hypothetical protein	-3.85	-4.042787281	-33.52198687	-3.992640625	-5.477415784
TGGT1_202090	TGGT1_202090-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,515,514..3,516,110(-)"	hypothetical protein	1.65	-0.022738016	-0.019488004	0.032170784	-0.538045348
TGGT1_202100	TGGT1_202100-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,513,343..3,514,631(-)"	hypothetical protein	-0.42	-2.036719016	-3.241529659	-0.172402616	-1.71985176
TGGT1_202110	TGGT1_202110-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,510,080..3,510,946(-)"	hypothetical protein	-1	-0.02917854	-0.666194925	-0.010363051	-1.273083104
TGGT1_202120	TGGT1_202120-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,483,252..3,507,091(-)"	hypothetical protein	-2.1	0.97552777	0.252081634	2.134216274	0.142233625
TGGT1_202140	TGGT1_202140-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,477,952..3,480,356(-)"	enoyl-CoA hydratase/isomerase family protein	0.58	-1.204201009	-0.053499218	-0.0000174	-3.469652023
TGGT1_202160	TGGT1_202160-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,466,717..3,476,341(+)"	ABC1 family protein	-0.41	-19.84851556	-1.513793496	-0.015927928	-1.798964664
TGGT1_202170	TGGT1_202170-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,458,243..3,466,338(-)"	hypothetical protein	-4.25	-0.861348888	-6.558311361	-0.530149327	-4.174166189
TGGT1_202180	TGGT1_202180-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,445,702..3,453,333(+)"	hypothetical protein	-5.46	0.809874174	2.379827234	-2.915116693	1.687319983
TGGT1_202190	TGGT1_202190-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,433,795..3,441,702(-)"	hypothetical protein	-1.28	-0.819073	-0.781276614	-1.132591895	-2.364381407
TGGT1_202200	TGGT1_202200-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,420,532..3,424,661(-)"	hypothetical protein	-1.41	-3.742209048	-1.367114315	-66.99991627	-0.129200199
TGGT1_202205	TGGT1_202205-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,418,840..3,419,590(-)"	hypothetical protein	1.03	-0.207966501	-0.38132367	-0.298138512	-0.293083583
TGGT1_202210	TGGT1_202210-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,415,915..3,418,064(-)"	nucleoside diphosphate kinase	0.6	-0.263885845	0.159407387	0.006389366	-0.318700471
TGGT1_202220	TGGT1_202220-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,407,698..3,411,144(-)"	hypothetical protein	-3.49	-0.991785901	-0.501753759	-2.953859497	-0.757731354
TGGT1_202230	TGGT1_202230-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,396,640..3,405,849(+)"	histone deacetylase HDAC5	-3.66	-0.873529117	-0.079511449	-3.741127612	-0.01177214
TGGT1_202240	TGGT1_202240-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,386,503..3,393,972(-)"	RAP domain-containing protein	-4.54	-39.60837802	-32.35321393	-10.28909418	-27.72896066
TGGT1_202250	TGGT1_202250-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,377,943..3,384,690(+)"	hypothetical protein	-0.27	-0.548148695	-5.413646371	-0.325003331	-1.700588545
TGGT1_202255	TGGT1_202255-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,373,511..3,376,371(-)"	hypothetical protein	0.34	-1.541917379	-0.696389752	-0.543881736	-4.931004723
TGGT1_202260	TGGT1_202260-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,365,269..3,367,535(-)"	hypothetical protein	-0.78	-6.368536368	-3.787833871	-0.904588639	-4.748026114
TGGT1_202280	TGGT1_202280-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,345,374..3,361,640(-)"	"WD domain, G-beta repeat-containing protein"	-0.75	-1.542191979	-0.101316973	-0.559643822	-1.335877845
TGGT1_202285	TGGT1_202285-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,342,692..3,344,438(+)"	EGF family domain-containing protein	-0.14	-0.334320013	-0.155298184	-0.560994086	-0.862012944
TGGT1_202290	TGGT1_202290-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,337,171..3,338,628(-)"	putative membrane protein	-3.46	-0.283660549	-0.015663282	0.115153446	-0.373637491
TGGT1_202300	TGGT1_202300-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,332,319..3,335,586(+)"	putative inosine triphosphate pyrophosphatase	0.42	0.374644236	1.024387288	2.448661565	0.038302451
TGGT1_202310	TGGT1_202310-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,327,812..3,330,409(+)"	O-sialoglycoprotein endopeptidase	-4.74	1.078351954	4.068778451	-0.238023106	1.629737924
TGGT1_202340	TGGT1_202340-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,312,934..3,317,067(+)"	proline dehydrogenase	-2.39	1.313590461	3.011596901	7.917794774	0.217512229
TGGT1_202350	TGGT1_202350-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,302,662..3,310,578(+)"	putative 50S ribosomal protein L21	-5.07	7.751427006	11.95233692	3.873645709	10.31673741
TGGT1_202360	TGGT1_202360-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,293,425..3,300,114(+)"	putative methylase	-1.12	0.040487257	-0.0105424	0.563520845	0.01345824
TGGT1_202370	TGGT1_202370-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,284,056..3,290,078(+)"	"putative T-complex protein 1, epsilon subunit (TCP-1-epsilon)"	-6.05	4.055627197	4.41197067	0.365251123	5.365795888
TGGT1_202375	TGGT1_202375-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,279,013..3,279,672(-)"	hypothetical protein	-1.39	-0.055522443	-0.045813053	-0.008593784	0.008141238
TGGT1_202380	TGGT1_202380-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,266,429..3,273,830(+)"	putative rab GDI alpha	-5.31	-0.708580694	-0.407744888	-3.40684481	-3.305906705
TGGT1_202390	TGGT1_202390-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,261,261..3,263,894(-)"	S15 sporozoite-expressed protein	0.8	-1.401485118	-0.147186133	-0.215277772	-0.205960022
TGGT1_202400	TGGT1_202400-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,253,323..3,259,001(+)"	calcium binding egf domain-containing protein	-1.09	0.02048544	-0.011560338	-0.109506439	0.0000115
TGGT1_202410	TGGT1_202410-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,240,895..3,248,510(+)"	hypothetical protein	-2.92	-5.708206662	-3.358846352	-1.566704137	-2.490065178
TGGT1_202420	TGGT1_202420-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,236,336..3,238,000(+)"	hypothetical protein	-0.43	-18.82001517	-3.289553357	-31.84308089	-2.591033537
TGGT1_202430	TGGT1_202430-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,230,008..3,232,751(-)"	hypothetical protein	-2.17	0.042985416	-0.083398364	-0.003416567	-1.204526574
TGGT1_202440	TGGT1_202440-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,225,481..3,228,236(+)"	hypothetical protein	-2.71	-0.752857289	-12.4036511	-0.627186382	-22.63188729
TGGT1_202445	TGGT1_202445-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,223,038..3,224,067(-)"	hypothetical protein	1.7	-0.029291451	0.058543019	0.343629756	-0.0000141
TGGT1_202450	TGGT1_202450-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIIa:3,220,072..3,221,229(-)"	hypothetical protein	0.33	0.05775222	-0.11040153	-0.537892051	-0.243805764
